Model,Accuracy,Precision,Recall,F1 Score,F1 Macro,ROC AUC
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,0.9966,0.9951,1.0,0.9976,0.996,1.0
